==9384== Lackey, an example Valgrind tool
==9384== Copyright (C) 2002-2017, and GNU GPL'd, by Nicholas Nethercote.
==9384== Using Valgrind-3.13.0 and LibVEX; rerun with -h for copyright info
==9384== Command: ls
==9384== 
I  04001090,3
I  04001093,5
 S 1ffeff25c8,8
I  04001ea0,1
 S 1ffeff25c0,8
I  04001ea1,3
I  04001ea4,2
 S 1ffeff25b8,8
I  04001ea6,2
 S 1ffeff25b0,8
I  04001ea8,2
 S 1ffeff25a8,8
I  04001eaa,2
 S 1ffeff25a0,8
I  04001eac,3
I  04001eaf,1
 S 1ffeff2598,8
I  04001eb0,4
I  04001eb4,2
I  04001eb6,4
I  04001eba,2
I  04001ebc,3
I  04001ebf,7
 L 04229e68,8
I  04001ec6,7
 S 04229720,8
I  04001ecd,7
I  04001ed4,3
I  04001ed7,7
 L 0422a000,8
I  04001ede,3
I  04001ee1,7
 S 0422aa00,8
I  04001ee8,7
 S 0422a9f0,8
I  04001eef,6
I  04001ef5,7
I  04001efc,10
I  04001f06,10
I  04001f10,6
I  04001f16,6
I  04001f1c,5
I  04001f21,3
I  04001f24,6
I  04001f2a,3
I  04001f2d,7
I  04001f34,2
I  04001f5b,4
I  04001f5f,2
I  04001f4b,4
 S 0422aaa0,8
I  04001f4f,4
I  04001f53,3
 L 04229e78,8
I  04001f56,3
I  04001f59,2
I  04001f5b,4
I  04001f5f,2
I  04001f4b,4
 S 0422aa50,8
I  04001f4f,4
I  04001f53,3
 L 04229e88,8
I  04001f56,3
I  04001f59,2
I  04001f5b,4
I  04001f5f,2
I  04001f61,3
I  04001f64,3
I  04001f67,4
I  04001f6b,2
I  04001f6d,3
I  04001f70,2
I  04001f72,3
I  04001f75,6
I  04002290,3
I  04002293,3
I  04002296,4
I  0400229a,6
I  04002320,3
I  04002323,3
I  04002326,4
I  0400232a,6
I  04002330,3
I  04002333,4
 S 0422ac88,8
I  04002337,5
I  04001f4f,4
I  04001f53,3
 L 04229e98,8
I  04001f56,3
I  04001f59,2
I  04001f5b,4
I  04001f5f,2
I  04001f4b,4
 S 0422aa58,8
I  04001f4f,4
I  04001f53,3
 L 04229ea8,8
I  04001f56,3
I  04001f59,2
I  04001f5b,4
I  04001f5f,2
I  04001f4b,4
 S 0422aa60,8
I  04001f4f,4
I  04001f53,3
 L 04229eb8,8
I  04001f56,3
I  04001f59,2
I  04001f5b,4
I  04001f5f,2
I  04001f4b,4
 S 0422aa80,8
I  04001f4f,4
I  04001f53,3
 L 04229ec8,8
I  04001f56,3
I  04001f59,2
I  04001f5b,4
I  04001f5f,2
I  04001f4b,4
 S 0422aa88,8
I  04001f4f,4
I  04001f53,3
 L 04229ed8,8
I  04001f56,3
I  04001f59,2
I  04001f5b,4
I  04001f5f,2
I  04001f4b,4
 S 0422aa48,8
I  04001f4f,4
I  04001f53,3
 L 04229ee8,8
I  04001f56,3
I  04001f59,2
I  04001f5b,4
I  04001f5f,2
I  04001f4b,4
 S 0422aa40,8
I  04001f4f,4
I  04001f53,3
 L 04229ef8,8
I  04001f56,3
I  04001f59,2
I  04001f5b,4
I  04001f5f,2
I  04001f4b,4
 S 0422aad0,8
I  04001f4f,4
I  04001f53,3
 L 04229f08,8
I  04001f56,3
I  04001f59,2
I  04001f5b,4
I  04001f5f,2
I  04001f4b,4
 S 0422aae8,8
I  04001f4f,4
I  04001f53,3
 L 04229f18,8
I  04001f56,3
I  04001f59,2
I  04001f5b,4
I  04001f5f,2
I  04001f4b,4
 S 0422aa68,8
I  04001f4f,4
I  04001f53,3
 L 04229f28,8
I  04001f56,3
I  04001f59,2
I  04001f5b,4
I  04001f5f,2
I  04001f4b,4
 S 0422aa70,8
I  04001f4f,4
I  04001f53,3
 L 04229f38,8
I  04001f56,3
I  04001f59,2
I  04001f5b,4
I  04001f5f,2
I  04001f4b,4
 S 0422aa78,8
I  04001f4f,4
I  04001f53,3
 L 04229f48,8
I  04001f56,3
I  04001f59,2
I  04001f5b,4
I  04001f5f,2
I  04001f61,3
I  04001f64,3
I  04001f67,4
